time,r00,r01,r02,r10,r11,r12,r20,r21,r22,t0,t1,t2,pitch,yaw,roll,fx,ox,fy,oy
2669,-0.0059651346,0.99793935,-0.063887045,-0.98244315,0.0060646576,0.18646294,0.18646616,0.06387767,0.9803826,0.11679706,0.002804936,-0.572368,-0.1875607,-0.06507341,-1.5646234,1505.0461,976.8978,1505.0461,723.923
2718,-0.010227317,0.9976586,-0.06762238,-0.98156923,0.0028895333,0.1910845,0.1908325,0.06833033,0.9792415,0.12126965,0.0025548222,-0.6021686,-0.1922669,-0.06894642,-1.5678525,1505.0461,976.91724,1505.0461,723.8711
2753,-0.01456802,0.9974455,-0.06993101,-0.98081374,-0.00065746484,0.19494541,0.19440143,0.071429275,0.9783179,0.12826926,0.0015332717,-0.63028634,-0.19620179,-0.07135949,-1.5714667,1505.0192,976.86755,1505.0192,723.77747
2790,-0.01708957,0.9973984,-0.070031434,-0.98062986,-0.0030511222,0.19584575,0.19512257,0.07202187,0.9781308,0.1385889,-0.0013980987,-0.67358637,-0.19711983,-0.071475245,-1.5739077,1505.064,976.8447,1505.064,723.71625
2825,-0.01708957,0.9973984,-0.070031434,-0.98062986,-0.0030511222,0.19584575,0.19512257,0.07202187,0.9781308,0.1385889,-0.0013980987,-0.67358637,-0.19711983,-0.071475245,-1.5739077,1504.9294,976.8205,1504.9294,723.73645
2859,-0.006406822,0.99661654,-0.081941485,-0.9821669,0.009126047,0.18778937,0.1879018,0.081683345,0.97878534,0.14305034,-0.0077396184,-0.73727334,-0.18891099,-0.08352276,-1.5615048,1504.4985,976.7925,1504.4985,723.6642
2893,-0.006406822,0.99661654,-0.081941485,-0.9821669,0.009126047,0.18778937,0.1879018,0.081683345,0.97878534,0.14305034,-0.0077396184,-0.73727334,-0.18891099,-0.08352276,-1.5615048,1504.4851,976.61707,1504.4851,723.5463
2927,0.0019415927,0.9956812,-0.092818044,-0.9867322,0.016976107,0.16146597,0.1623443,0.09127305,0.98250365,0.14842953,-0.019439543,-0.82067984,-0.16217594,-0.094191395,-1.5535936,1504.4851,976.6486,1504.4851,723.51996
2963,0.0038969899,0.99536663,-0.096074216,-0.987888,0.018735213,0.15403315,0.1551194,0.09431032,0.9833837,0.15219964,-0.023845367,-0.8556513,-0.15464886,-0.09738852,-1.5518336,1504.539,976.55096,1504.539,723.5518
3001,0.005844766,0.995126,-0.09843823,-0.987865,0.021024477,0.15388493,0.15520449,0.09634427,0.9831731,0.15387948,-0.025662541,-0.87373906,-0.15449885,-0.09979043,-1.5495168,1504.5839,976.5473,1504.5839,723.4747
3038,0.00992291,0.99515676,-0.09779796,-0.98776317,0.024978213,0.15394752,0.15564473,0.09507365,0.9832272,0.15130797,-0.027240131,-0.8939199,-0.15456219,-0.0991402,-1.5455141,1504.6556,976.4581,1504.6556,723.5075
3073,0.012032308,0.99399763,-0.10873809,-0.98831433,0.02834758,0.14977019,0.15195368,0.10566535,0.9827232,0.15561888,-0.029066984,-0.96805006,-0.15033583,-0.11020148,-1.5421214,1504.4224,976.4544,1504.4224,723.433
3109,0.009404118,0.9951718,-0.09769754,-0.9909332,0.022369795,0.1324796,0.13402542,0.09556591,0.98635906,0.15409514,-0.02411031,-1.0414548,-0.13287021,-0.098726645,-1.5482256,1504.6646,976.4996,1504.6646,723.445
