time,r00,r01,r02,r10,r11,r12,r20,r21,r22,t0,t1,t2,pitch,yaw,roll,fx,ox,fy,oy
3063,0.01708319,0.99964803,0.020296982,-0.98818994,0.013788723,0.15261225,0.15227866,-0.022664376,0.98807764,0.040743332,-0.065522745,-0.12323568,-0.15321095,0.020539,-1.5568438,1505.082,976.77734,1505.082,723.11383
3096,0.02046047,0.99952626,0.022991175,-0.98647064,0.016441323,0.16311137,0.16265608,-0.026017454,0.9863397,0.04257026,-0.07141406,-0.14215672,-0.16384344,0.023305371,-1.554131,1505.2167,976.74164,1505.2167,723.11633
3130,0.019108392,0.9995253,0.024166843,-0.98574805,0.014793288,0.16757669,0.1671396,-0.027024537,0.98556274,0.041406643,-0.07735823,-0.16222228,-0.16837108,0.024515944,-1.5557903,1505.0461,976.78815,1505.0461,723.2057
3163,0.018160114,0.99942255,0.028716028,-0.9855324,0.013052379,0.16898365,0.16851126,-0.03136934,0.98520035,0.043921977,-0.08419995,-0.18444493,-0.1697984,0.02913915,-1.5575532,1505.0686,976.7802,1505.0686,723.1799
3197,0.018723376,0.99909097,0.038297225,-0.9839437,0.011612547,0.17810065,0.177494,-0.041016962,0.9832667,0.04716504,-0.091103174,-0.20923804,-0.1790559,0.03892929,-1.5589949,1505.2975,976.72906,1505.2975,723.1956
3230,0.022386303,0.99896324,0.039637696,-0.98268074,0.014691842,0.18472275,0.18394887,-0.043086465,0.9819909,0.04822171,-0.09819004,-0.23492296,-0.18578975,0.040342726,-1.5558467,1505.1134,976.7409,1505.1134,723.2306
3263,0.024773156,0.99889255,0.039998736,-0.98241067,0.016917774,0.18596534,0.18508269,-0.04390213,0.98174167,0.05217099,-0.10398327,-0.2620535,-0.18705425,0.04072011,-1.5535773,1505.0596,976.7599,1505.0596,723.21765
3297,0.02391457,0.99851066,0.049033616,-0.98215264,0.014313333,0.18753956,0.18655844,-0.05264343,0.9810323,0.05722067,-0.10883164,-0.29074445,-0.18865666,0.049940094,-1.5562239,1505.2435,976.7913,1505.2435,723.2736
3330,0.02295767,0.99846977,0.050309893,-0.9821559,0.0131295,0.18760934,0.18666169,-0.05371924,0.9809544,0.059642885,-0.112566926,-0.31901646,-0.1887277,0.05124178,-1.5574291,1505.1493,976.7448,1505.1493,723.217
3363,0.02426682,0.99858576,0.047302607,-0.9843264,0.015599144,0.17566463,0.1746783,-0.050824016,0.98331296,0.064940445,-0.11459655,-0.3479309,-0.17658086,0.04806829,-1.5549501,1504.8755,976.85364,1504.8755,723.28284
3397,0.026410876,0.9983901,0.050196324,-0.9861033,0.017781125,0.1651786,0.16402012,-0.053861268,0.9849854,0.07092072,-0.115547456,-0.37846202,-0.1659391,0.050917443,-1.5527666,1505.1404,976.8137,1505.1404,723.3045
3430,0.028530067,0.99784774,0.059040464,-0.9857367,0.018285127,0.16729823,0.16585858,-0.06297138,0.9841369,0.07115214,-0.11494659,-0.40960273,-0.16808863,0.05992031,-1.5522487,1505.2526,976.9076,1505.2526,723.3256
3463,0.040824242,0.99742913,0.058891404,-0.98410386,0.029943278,0.17505099,0.17283754,-0.06510158,0.9827963,0.07574277,-0.11400065,-0.44166368,-0.17595756,0.059850723,-1.5403788,1505.091,976.9617,1505.091,723.3243
3496,0.048281502,0.99670774,0.06513578,-0.98229396,0.035562675,0.18393956,0.18101756,-0.07286338,0.980777,0.081187785,-0.11256489,-0.47402057,-0.18499291,0.06631504,-1.5346085,1505.1627,977.08014,1505.1627,723.2621
3530,0.049430825,0.9949297,0.087587,-0.98071885,0.031749543,0.19282754,0.18906899,-0.09542985,0.9773156,0.08292802,-0.109952286,-0.5042141,-0.19404295,0.08938119,-1.5384339,1505.1672,977.0521,1505.1672,723.3995
